time,Cid,hits
2020-02-10,2,4245
2020-02-10,3,8403
2020-02-10,5,4630
2020-02-10,10,345
2020-02-11,1,7409
2020-02-11,2,38070
2020-02-11,3,21431
2020-02-11,5,4795
2020-02-12,1,10352
2020-02-12,2,51404
2020-02-12,3,9665
2020-02-12,10,636
2020-02-13,1,5822
2020-02-13,2,10453
2020-02-13,5,10715
2020-02-14,1,11326
2020-02-14,2,5777
2020-02-14,3,6463
2020-02-14,10,317
2020-02-17,1,19061
2020-02-17,2,4941
2020-02-17,8,3069
2020-02-18,1,2047
2020-02-18,3,3006
2020-02-18,8,1550
2020-02-19,1,13310
2020-02-19,2,11789
2020-02-19,3,10244
2020-02-19,5,4946
2020-02-19,10,295
2020-02-20,1,15781
2020-02-20,2,7700
